"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00017069","timm-17B.2","WAGO",82.311,83.821,9881.274,9891.081,118.838,0
"WBGene00009247","bath-45","WAGO",57.125,64.926,1994.607,2218.972,34.268,0
"WBGene00020674","T22B7.7","unk",191.153,190.148,2470.033,2422.048,12.832,0
"WBGene00018878","glit-1","WAGO",407.688,468.631,3169.836,3374.779,7.44,0
"WBGene00017500","pud-2.2","unk",456.647,451.651,2975.734,3102.033,6.694,0
"WBGene00001075","dpy-14","unk",1843.909,2197.086,150.445,129.26,-14.486,0
"WBGene00005018","sqt-3","unk",1901.646,2369.497,207.009,179.204,-11.101,0
"WBGene00004178","prg-1","ALG",10538.836,9848.246,3167.913,3147.625,-3.227,0
"WBGene00012040","T26E3.7","WAGO",24.709,30.817,1236.263,1355.106,45.998,0
"WBGene00001433","fkb-8","WAGO",41.36,70.587,1238.861,1298.703,22.114,0
"WBGene00018852","F55A3.7","unk",180.034,155.585,1595.246,1552.134,9.43,0
"WBGene00001908","his-34","histone",14.583,14.505,1195.069,1208.323,82.659,0
"WBGene00001076","dpy-17","unk",2077.489,2374.813,381.145,330.055,-6.272,0
"WBGene00000698","col-124","unk",6938.837,7355.088,20555.828,18835.595,2.755,0
"WBGene00010734","parn-1","ALG",812.061,852.695,3186.5,3363.746,3.931,0
"WBGene00000668","col-93","unk",11441.816,12188.287,27888.027,27623.342,2.349,0
"WBGene00016885","fbxb-97","WAGO",59.471,53.121,900.72,945.236,16.493,0
"WBGene00000599","col-10","unk",2399.598,2946.037,557.599,551.829,-4.824,0
"WBGene00000712","col-139","unk",174.532,207.68,1451.204,1322.592,7.215,0
"WBGene00009511","F37H8.2","WAGO",62.095,74.715,876.909,859.867,12.586,0
"WBGene00000715","col-142","unk",567.079,540.265,2202.464,2141.987,3.928,0
"WBGene00018297","F41F3.3","unk",1050.749,1148.042,157.205,158.24,-6.975,0
"WBGene00000703","col-129","unk",218.377,301.023,1757.401,1567.922,6.363,0
"WBGene00000673","col-98","unk",2996.527,2933.318,7312.514,7047.657,2.422,0
"WBGene00017501","pud-3","unk",24.548,34.779,628.052,745.581,22.711,0
"WBGene00015660","catp-3","unk",314.295,335.085,1487.993,1534.175,4.646,0
"WBGene00007124","B0250.7","WAGO",254.442,297.618,1395.207,1364.691,5,0
"WBGene00011175","R09E10.5","unk",679.516,856.554,68.243,45.717,-13.572,0
"WBGene00018099","ztf-28","unk",559.323,590.877,19.054,31.02,-22.808,0
"WBGene00008390","D1086.3","unk",194.074,189.505,1069.904,1083.73,5.619,0
"WBGene00189951","linc-29","WAGO",96.067,56.015,795.746,858.989,11.109,0
"WBGene00011964","saeg-2","WAGO",142.595,206.609,1144.573,1179.554,6.587,0
"WBGene00016422","noah-1","unk",1698.149,2092.667,456.277,443.831,-4.217,0
"WBGene00008010","C38D9.2","WAGO",11.661,25.625,532.323,628.815,29.407,0
"WBGene00000801","cars-2","WAGO",213.972,201.271,1062.231,1180.813,5.412,0
"WBGene00013489","col-42","unk",2407.36,2801.196,6809.12,6497.572,2.551,0
"WBGene00007125","B0250.8","WAGO",12.264,10.418,522.807,608.566,50.468,0
"WBGene00000677","col-103","unk",1479.635,1616.42,4138.607,3950.234,2.609,0
"WBGene00000597","col-8","unk",12583.309,13734.641,27212.611,26349.379,2.035,0
"WBGene00000657","col-81","unk",138.668,190.094,1133.32,1021.04,6.492,0
"WBGene00009572","F40D4.13","WAGO",19.829,16.831,500.529,523.992,28.236,0
"WBGene00011236","R11A8.1","WAGO",539.542,518.144,1810.128,1788.715,3.405,0
"WBGene00002262","ldh-1","unk",1683.359,2011.488,4940.112,5024.874,2.692,0
"WBGene00018223","bath-13","WAGO",9.906,10.613,515.52,534.424,50.928,0
"WBGene00009367","F33H2.3","CSR",1323.355,1326.994,309.863,340.866,-4.07,0
"WBGene00012148","inos-1","CSR",3025.703,3093.683,1191.914,1225.417,-2.532,0
"WBGene00004300","ram-2","unk",1316.613,1734.234,341.016,286.575,-4.873,0
"WBGene00000717","col-144","unk",1830.95,2125.025,581.695,608.655,-3.326,0
"WBGene00010135","F55H12.4","unk",534.376,566.727,1729.302,1698.152,3.109,0
"WBGene00000650","col-74","unk",1234.989,1613.451,20.065,9.039,-98.765,0
"WBGene00021993","Y59E9AL.3","unk",24.791,9.748,422.301,474.66,27.373,0
"WBGene00007308","C04G2.9","ALG",29.762,20.399,440.381,429.605,17.699,0
"WBGene00016299","C32B5.6","WAGO",30.695,16.599,424.546,459.947,19.332,0
"WBGene00000989","dhs-26","unk",19.827,19.484,398.211,418.779,20.806,0
"WBGene00012186","mlt-11","WAGO",773.735,777.777,152.013,113.112,-5.874,0
"WBGene00008399","D2005.4","CSR",3335.259,3219.447,1412.317,1450.873,-2.288,0
"WBGene00017498","pud-4","unk",18.57,15.823,386.987,393.571,22.917,0
"WBGene00001858","hil-7","unk",422.853,466.939,37.951,21.386,-15.071,0
"WBGene00000608","col-19","unk",11067.801,11486.041,20235.242,19690.38,1.77,0
"WBGene00000752","col-179","unk",3939.201,4070.764,7785.357,7578.18,1.917,0
"WBGene00007331","pho-11","WAGO",740.33,924.157,2377.452,2592.231,2.977,0
"WBGene00000609","col-20","unk",12396.797,14675.665,27547.841,27535.876,2.034,0
"WBGene00022396","Y97E10AR.1","unk",504.648,541.709,66.227,63.892,-8.05,0
"WBGene00009926","noah-2","WAGO",1011.895,1153.168,284.979,252.78,-4.034,0
"WBGene00000170","aqp-2","unk",1302.197,1597.763,385.389,417.446,-3.616,0
"WBGene00001891","his-17","histone",4473.387,4451.001,2174.497,1976.844,-2.15,0
"WBGene00001475","fmi-1","unk",826.143,982.911,200.299,155.379,-5.113,0
"WBGene00016440","gipc-1","unk",14.885,10.648,333.054,414.805,29.916,0
"WBGene00270321","Y41C4A.32","unk",1235.357,1083.502,310.901,324.48,-3.645,0
"WBGene00009681","gipc-2","unk",27.261,21.254,357.084,440.632,16.664,0
"WBGene00001824","hbl-1","unk",589.495,567.12,95.444,74.799,-6.813,0
"WBGene00015573","C07G1.7","unk",27.129,14.037,375.892,393.774,19.376,0
"WBGene00020350","T08B2.12","ALG",15.994,13.975,357.73,347.307,23.718,0
"WBGene00008862","F15D4.5","WAGO",65.795,62.214,492.61,517.644,7.911,0
"WBGene00000667","col-92","unk",282.243,265.163,993.89,1054.36,3.748,0
"WBGene00000740","col-167","unk",1121.847,1351.022,349.979,327.993,-3.654,0
"WBGene00011474","aldo-1","unk",1138.074,1372.172,3059.48,3224.976,2.498,0
"WBGene00044161","C47G2.8","WAGO",22.264,30.004,380.064,373.652,14.206,0
"WBGene00014836","T09F5.12","WAGO",132.767,144.732,675.166,725.594,5.035,0
"WBGene00007454","C08F11.7","WAGO",22.782,19.361,365.646,342.595,17.011,0
"WBGene00018468","cla-1","unk",1797.462,1768.461,696.792,664.094,-2.619,0
"WBGene00014884","Y39E4B.14","WAGO",41.974,29.893,384.976,421.804,11.404,0
"WBGene00001881","his-7","histone",1870.667,1858.477,718.223,752.595,-2.535,0
"WBGene00022245","acp-6","unk",4167.553,5066.629,9777.168,9670.713,2.104,0
"WBGene00017881","asp-13","unk",2405.6,2936.754,5835.86,5952.862,2.203,0
"WBGene00014663","C01G6.10","WAGO",78.266,58.742,516.735,480.43,7.354,0
"WBGene00011508","T05H10.3","unk",279.79,387.411,19.044,9.235,-23.864,0
"WBGene00016752","C48E7.7","ALG",7.392,7.005,300.67,330.211,43.992,0
"WBGene00000040","aco-1","CSR",3626.983,3987.065,7381.546,7024.367,1.891,0
"WBGene00000713","col-140","unk",22371.902,26971.448,47129.322,47358.979,1.915,0
"WBGene00004155","pqn-73","unk",243.907,400.547,11.066,9.014,-32.317,0
"WBGene00008707","F11E6.3","unk",684.155,936.469,2412.395,2309.669,2.903,0
"WBGene00194914","F44D12.16","unk",12.368,7.941,284.794,309.786,30.116,0
"WBGene00007766","C27C7.1","unk",418.703,418.639,52.156,58.198,-7.579,0
"WBGene00018862","wago-2","WAGO",4569.492,4280.549,7951.026,7836.333,1.785,0
"WBGene00019154","glf-1","unk",338.92,510.197,44.145,24.388,-12.504,0
"WBGene00043988","AC8.10","WAGO",28.525,55.889,437.378,421.305,9.92,0
"WBGene00016658","C45B2.1","unk",345.872,398.367,1157.487,1149.663,3.09,0
"WBGene00194674","F23D12.11","unk",1046.281,1016.646,2264.564,2315.212,2.221,0
"WBGene00000217","asp-4","unk",8098.147,8813.108,14395.046,15000.483,1.738,0
"WBGene00021625","Y47D7A.13","unk",556.75,793.749,124.352,80.33,-6.63,0
"WBGene00019441","K06B9.4","unk",1048.097,978.778,2289.903,2243.436,2.239,0
"WBGene00013847","cls-3","CSR",732.502,746.523,1848.439,1735.723,2.422,0
"WBGene00000693","col-119","unk",27291.576,31994.946,53130.914,53507.673,1.798,0
"WBGene00015168","pdi-6","WAGO",5660.589,5633.421,3078.044,3185.772,-1.803,0
"WBGene00021673","Y48G1BM.8","WAGO",25.978,29.128,314.886,325.128,11.552,0
"WBGene00000751","col-178","unk",11652.521,14619.291,25604.385,26736.365,1.992,0
"WBGene00017937","F30H5.3","unk",314.894,453.808,42.151,34.055,-10.14,0
"WBGene00006584","tni-1","unk",967.041,1163.729,294.867,337.836,-3.37,0
"WBGene00001893","his-19","histone",1626.032,1502.525,631.196,543.327,-2.663,0
"WBGene00001927","his-53","histone",1626.032,1502.525,631.196,543.327,-2.663,0
"WBGene00020414","T10E9.4","ALG",22.118,10.122,318.546,279.834,19.225,0
"WBGene00007425","C08B6.4","unk",257.505,367.413,24.586,13.715,-16.449,0
"WBGene00006926","vit-2","CSR",60945.45,58785.686,107971.041,95133.365,1.696,0
"WBGene00003426","msp-19","ALG",14.605,25.67,291.091,303.342,14.352,0
"WBGene00001064","dpy-2","unk",353.431,400.898,47.148,52.566,-7.564,0
"WBGene00000681","col-107","unk",452.832,604.824,96.273,88.541,-5.739,0
"WBGene00015514","nlp-77","unk",3193.393,3787.487,6767.774,6779.02,1.938,0
"WBGene00002051","ifa-3","unk",233.564,280.384,11.037,14.42,-20.124,0
"WBGene00077762","Y57G11C.499","WAGO",6.172,7.911,226.569,319.034,38.149,0
"WBGene00003452","msp-59","ALG",12.171,11.123,256.08,250.545,21.869,0
"WBGene00003464","msp-77","ALG",13.388,3.423,245.076,296.622,34.948,0
"WBGene00019517","K08B4.5","WAGO",59.643,52.532,391.323,385.552,6.959,0
"WBGene00015236","B0511.11","unk",489.262,474.88,88.292,98.379,-5.158,0
"WBGene00000732","col-159","unk",152.323,229.984,837.478,785.489,4.207,0
"WBGene00003431","msp-33","ALG",4.868,8.557,236.073,259.184,35.557,0
"WBGene00003435","msp-40","ALG",17.039,5.134,234.073,313.901,26.403,0
"WBGene00001903","his-29","histone",1666.157,1786.657,2,0,-1758.794,0
"WBGene00000716","col-143","unk",3857.813,4872.244,8870.941,8742.211,2.015,0
"WBGene00023284","F41B5.1","WAGO",66.825,61.832,375.074,459.753,6.509,0
"WBGene00009884","F49C12.15","ALG",24.865,30.306,326.124,278.771,10.863,0
"WBGene00010738","K10D3.4","unk",444.04,603.983,98.344,94.292,-5.455,0
"WBGene00015577","ugt-64","unk",955.434,951.183,2002.48,2083.583,2.143,0
"WBGene00000675","col-101","unk",13303.733,15186.364,23984.065,24460.237,1.7,0
"WBGene00000754","col-181","unk",22131.813,24231.124,37378.501,37023.439,1.605,0
"WBGene00009224","F28F8.7","unk",314.74,199.691,958.077,1059.257,3.964,0
"WBGene00003468","msp-113","unk",8.52,5.99,209.065,286.063,34.949,0
"WBGene00003465","msp-78","ALG",21.908,6.845,250.078,298.542,20.239,0
"WBGene00011176","R09E10.6","ALG",21.052,7.961,244.723,286.732,19.248,0
"WBGene00007966","maph-1.3","unk",1681.18,1695.078,3212.141,3145.676,1.883,0
"WBGene00002063","ife-5","unk",176.065,164.961,632.885,644.111,3.75,0
"WBGene00003450","msp-57","ALG",14.605,8.557,231.072,243.825,21.169,0
"WBGene00194703","F26B1.8","ALG",13.538,7.866,226.472,244.909,22.747,0
"WBGene00001859","hil-8","WAGO",48.422,37.339,333.095,329.585,7.806,0
"WBGene00002010","hsp-6","CSR",8277.028,8369.877,13085.774,13000.355,1.567,0
"WBGene00010083","xdh-1","unk",661.937,833.837,1840.516,1823.718,2.442,0
"WBGene00003429","msp-31","unk",24.342,16.257,254.079,252.465,12.733,0
"WBGene00017851","F27C1.1","unk",9.894,7.94,197.549,252.269,25.575,0
"WBGene00044249","F55B11.6","WAGO",4.933,0.877,310.742,312.511,120.337,0
"WBGene00001892","his-18","histone",1575.3,1631.916,707.217,737.03,-2.221,0
"WBGene00001069","dpy-7","unk",277.552,352.426,21.064,40.89,-10.113,0
"WBGene00016274","C30G12.2","unk",349.754,345.376,950.553,958.951,2.748,0
"WBGene00008486","ugt-44","unk",1054.326,1122.394,2191.255,2209.113,2.02,0
"WBGene00003444","msp-51","ALG",7.303,2.567,212.066,247.665,50.065,0
"WBGene00020242","phat-5","unk",191.732,236.535,5.014,10.961,-26.527,0
"WBGene00000757","col-184","unk",11541.516,12807.681,19492.257,19723.492,1.61,0
"WBGene00219725","linc-63","unk",20.877,27.852,244.431,285.775,10.742,0
"WBGene00009653","F43D9.1","unk",303.572,385.615,51.181,24.226,-9.227,0
"WBGene00003467","msp-81","ALG",18.256,9.412,210.065,239.986,16.859,0
"WBGene00000680","col-106","unk",11440.651,12746.764,19443.976,19280.907,1.601,0
"WBGene00020626","T20F5.4","unk",252.959,261.602,28.088,10.879,-13.363,0
"WBGene00018910","F56A4.2","unk",786.537,861.018,1728.799,1797.93,2.138,0
"WBGene00021224","clec-209","unk",786.537,861.018,1728.799,1797.93,2.138,0
"WBGene00000788","cpz-1","ERGO",5056.004,5763.85,9008.29,9571.283,1.716,0
"WBGene00000594","col-3","unk",1013.599,961.199,251.724,361.142,-3.216,0
"WBGene00012898","Y46G5A.6","WAGO",40.936,36.386,294.936,291.567,7.621,0
"WBGene00003432","msp-36","ALG",3.651,7.701,193.06,214.067,34.21,0
"WBGene00003090","lys-1","unk",2721.2,3166.518,5204.889,5484.625,1.814,0
"WBGene00016700","C46A5.4","unk",281.248,293.82,39.139,17.035,-10.344,0
"WBGene00007605","hrg-7","unk",1417.748,1528.843,3013.536,2704.476,1.938,0
"WBGene00001570","gei-13","unk",395.436,422.677,90.314,80.882,-4.787,0
"WBGene00004219","ptr-4","unk",342.002,406.713,74.259,58.395,-5.666,0
"WBGene00015688","C10G11.8","unk",18.54,7.65,223.718,218.617,17.327,0
"WBGene00000720","col-147","unk",926.98,1248.953,356.087,375.991,-2.977,0
"WBGene00002067","ifp-1","unk",493.51,664.793,103.355,147.536,-4.614,0
"WBGene00004990","spp-5","unk",4196.721,4263.666,6678.598,6934.208,1.609,0
"WBGene00003449","msp-56","ALG",12.171,3.423,190.059,222.707,28.494,0
"WBGene00010364","H04D03.3","unk",714.202,551.526,1599.991,1514.207,2.469,0
"WBGene00003516","nab-1","unk",669.121,706.861,230.448,193.315,-3.253,0
"WBGene00009031","F21H7.5","ALG",8.673,13.28,214.648,187.239,17.888,0
"WBGene00001931","his-57","histone",37550.356,35228.015,24712.414,23134.254,-1.521,0
"WBGene00001875","his-1","histone",2150.659,2002.041,1063.822,1061.639,-1.953,0
"WBGene00012683","asp-17","unk",26.029,30.126,241.743,255.981,8.81,0
"WBGene00012257","lpr-4","unk",197.231,315.032,19.06,27.167,-11.069,0
"WBGene00012615","dct-16","unk",5675.495,5844.555,8792.263,9593.618,1.596,0
"WBGene00017772","clec-1","unk",1573.247,1711.009,2940.571,2989.542,1.804,0
"WBGene00006929","vit-5","unk",76203.333,75423.729,123308.515,109396.467,1.535,0
"WBGene00019832","osg-1","unk",57.225,75.859,339.194,385.039,5.396,0
"WBGene00012256","lpr-5","unk",239.813,322.317,42.142,28.826,-7.972,0
"WBGene00023421","rde-11","WAGO",1205.619,1137.574,2197.146,2222.377,1.888,0
"WBGene00001006","dlg-1","unk",1505.318,1799.298,760.68,745.783,-2.197,0
"WBGene00009787","F46F2.3","unk",650.239,742.06,1510.291,1499.978,2.157,0
"WBGene00010085","F55B11.3","unk",1858.953,1758.832,3127.867,3201.212,1.751,0
"WBGene00017071","aagr-1","WAGO",431.601,635.364,1443.939,1450.307,2.699,0
"WBGene00013986","ZK512.7","unk",633.683,644.953,1336.354,1417.667,2.153,0
"WBGene00021886","Y54G2A.21","WAGO",341.99,416.493,965.359,1007.21,2.591,0
"WBGene00001876","his-2","histone",2288.539,2271.48,1181.813,1265.79,-1.863,0
"WBGene00000115","alh-9","CSR",2988.186,3201.09,5030.001,5097.728,1.635,0
"WBGene00020167","T02G5.11","CSR",96.137,79.867,360.967,472.951,4.766,0
"WBGene00013473","Y69E1A.1","ALG",17.144,9.167,205.223,185.994,15.281,0
"WBGene00013297","Y57G11B.5","WAGO",3201,2769.839,5014.402,5588.324,1.778,0
"WBGene00001794","gta-1","unk",4044.332,4613.888,7135.055,7183.819,1.652,0
"WBGene00003786","npa-1","unk",6813.773,7988.619,12589.915,11965.905,1.658,0
"WBGene00021468","epg-2","WAGO",2819.76,3231.195,1656.628,1649.582,-1.832,0
"WBGene00000039","acn-1","unk",427.803,607.365,124.433,127.581,-4.117,0
"WBGene00016892","pgph-3","unk",1073.603,1216.152,2201.821,2196.28,1.918,0
"WBGene00021113","gsp-3","ALG",5.164,6.094,197.308,155.287,30.929,0
"WBGene00017336","ugt-41","unk",444.556,496.219,1140.77,1070.444,2.345,0
"WBGene00017542","F17E9.5","ALG",13.536,8.738,170.353,194.893,16.798,0
"WBGene00003470","msp-152","ALG",18.256,11.123,183.057,204.468,13.531,0
"WBGene00015802","kynu-1","unk",887.267,1074.598,2023.517,2003.38,2.048,0
"WBGene00000779","cpn-3","unk",1335.752,1422.841,2483.29,2502.493,1.806,0
"WBGene00016072","C24H12.2","WAGO",23.256,22.487,209.256,221.723,9.437,0
"WBGene00006947","wrt-1","unk",290.548,408.994,66.218,34.308,-7.012,0
"WBGene00013290","Y57G11A.2","ALG",12.424,3.56,183.617,176.649,24.09,0
"WBGene00011480","enpl-1","ALG",15903.184,16073.691,10946.471,10986.507,-1.458,0
"WBGene00016558","pks-1","WAGO",974.735,896.293,1973.519,1769.232,2.002,0
"WBGene00003995","pgp-1","unk",454.138,684.717,1495.29,1537.662,2.651,0
"WBGene00007833","oac-6","unk",167.756,219.061,597.023,689.893,3.309,0
"WBGene00001758","gst-10","WAGO",142.9,153.359,489.096,537.669,3.461,0
"WBGene00000696","col-122","unk",19491.081,23295.439,35769.237,34019.774,1.631,0
"WBGene00010084","F55B11.2","unk",1419.955,1538.24,2676.848,2618.628,1.788,0
"WBGene00001902","his-28","histone",1399.195,1316.468,663.265,610.738,-2.13,0
"WBGene00001924","his-50","histone",1399.195,1316.468,663.265,610.738,-2.13,0
"WBGene00007455","ugt-22","unk",1284.592,1496.242,2548.565,2716.455,1.89,0
"WBGene00006930","vit-6","unk",156043.594,171955.127,263923.2,238580.87,1.532,0
"WBGene00011054","arrd-13","CSR",1537.611,1464.649,700.261,761.412,-2.052,0
"WBGene00015339","C02E7.6","unk",229.776,292.481,30.978,41.114,-7.255,0
"WBGene00011712","T11F9.10","WAGO",9.914,16.828,180.549,195.302,13.703,0
"WBGene00019131","bath-12","WAGO",95.258,95.341,402.135,385.317,4.131,0
"WBGene00043743","Y59E9AL.2","unk",11.157,5.318,161.499,179.67,21.601,0
"WBGene00014130","ZK892.6","WAGO",65.676,46.053,298.909,323.401,5.636,0
"WBGene00022816","fbn-1","unk",725.516,928.375,302.849,215.472,-3.203,0
"WBGene00003463","msp-76","ALG",13.388,8.557,174.054,169.91,16.067,0
"WBGene00007301","C04F12.7","unk",13.568,3.511,171.413,177.848,21.918,0
"WBGene00000695","col-121","unk",151.206,193.135,13.04,3.632,-21.065,0
"WBGene00001599","glh-2","CSR",3030.941,3202.346,1862.503,1812.619,-1.697,0
"WBGene00003466","msp-79","unk",15.822,14.546,150.047,248.625,13.186,0
"WBGene00012261","lpr-3","unk",283.261,426.367,71.24,39.654,-6.445,0
"WBGene00003457","msp-64","unk",4.868,4.278,151.047,162.23,34.559,0
"WBGene00020990","W03D8.9","ALG",3.866,6.988,165.379,153.418,28.189,0
"WBGene00235353","Y67D8C.23","unk",34.27,25.943,218.265,238.748,7.677,0
"WBGene00016957","atic-1","unk",829.768,930.272,1690.771,1767.67,1.962,0
"WBGene00006056","sss-1","unk",18.555,6.179,172.485,196.355,15.699,0
"WBGene00012552","enu-3.5","unk",81.274,96.86,359.741,393.257,4.211,0
"WBGene00008547","F07A11.4","unk",410.157,486.814,129.011,84.439,-4.238,0
"WBGene00010492","meg-1","CSR",4656.982,4384.524,2822.623,2841.775,-1.596,0
"WBGene00003934","pat-10","unk",10241.169,10755.643,15358.421,15152.865,1.453,0
"WBGene00002007","hsp-3","unk",13473.376,13985.528,9437.684,9517.565,-1.449,0
"WBGene00004245","puf-9","WAGO",940.306,1046.459,1844.452,1912.871,1.888,0
"WBGene00009292","F31D4.5","unk",205.028,248.695,33.745,30.871,-7.046,0
"WBGene00018271","ctsa-1.1","unk",8547.166,8574.719,12283.492,12449.816,1.445,0
"WBGene00022497","Y119D3B.21","unk",527.291,623.068,1223.698,1277.989,2.168,0
"WBGene00019598","K09H9.7","WAGO",138.597,135.14,462.322,456.14,3.357,0
"WBGene00019520","K08B12.1","unk",163.673,185.323,15.047,17.227,-10.806,0
"WBGene00022751","msrp-2","ALG",4.815,1.676,170.76,144.948,52.451,0
"WBGene00006651","tts-2","unk",150.863,174.642,7.019,14.629,-14.912,0
"WBGene00015814","oatr-1","WAGO",2791.033,2808.338,4384.957,4387.106,1.567,0
"WBGene00007170","B0393.5","unk",245.089,274.018,50.177,42.176,-5.637,0
"WBGene00011910","alg-3","ALG",19.674,6.298,176.062,180.709,14.4,0
"WBGene00015469","C05D2.8","WAGO",589.107,618.313,1266.99,1209.582,2.049,0
"WBGene00006948","wrt-2","unk",157.608,232.708,21.068,19.895,-9.564,0
"WBGene00007479","C09F9.2","unk",421.95,531.569,143.514,90.502,-4.094,0
"WBGene00003438","msp-45","unk",23.125,10.268,168.052,207.348,11.657,0
"WBGene00000273","brp-1","unk",2623.934,3093.948,4954.385,4702.048,1.687,0
"WBGene00010185","F57A10.4","unk",209.871,184.635,22.056,26.65,-8.075,0
"WBGene00006449","alg-4","ALG",6.221,4.491,147.128,140.35,27.371,0
"WBGene00016351","C33F10.1","ALG",2.462,2.622,159.333,160.476,62.617,0
"WBGene00001879","his-5","histone",2052.957,1764.825,1032.856,877.134,-1.997,0
"WBGene00001877","his-3","histone",2178.59,2153.677,1274.396,1135.612,-1.798,0
"WBGene00017344","F10E7.2","WAGO",180.161,188.866,589.456,510.733,2.977,0
"WBGene00012664","Y39B6A.1","unk",2289.39,2817.722,4646.854,4337.54,1.757,0
"WBGene00017153","E_BE45912.2","unk",275.092,255.222,44.067,56.604,-5.25,0
"WBGene00007307","spch-1","ALG",7.397,4.385,165.388,123.648,25.309,0
"WBGene00000739","col-166","unk",743.363,905.388,345.967,297.843,-2.567,0
"WBGene00001386","far-2","unk",26612.855,28555.631,39298.713,38734.89,1.414,0
"WBGene00195155","W04A8.9","WAGO",19.836,24.821,199.619,182.33,8.472,0
"WBGene00007733","smz-1","ALG",11.152,18.596,194.59,153.558,11.435,0
"WBGene00008110","C46C2.2","WAGO",974.838,1194.41,2013.665,2186.619,1.932,0
"WBGene00015028","B0207.5","unk",27.397,21.463,206.755,185.192,8.099,0
"WBGene00019839","R02F11.1","unk",145.876,162.206,8.022,14.641,-13.503,0
"WBGene00001882","his-8","histone",966.446,1021.068,477.062,401.741,-2.263,0
"WBGene00015037","B0212.3","WAGO",708.195,728.204,1388.68,1382.233,1.928,0
"WBGene00019430","K06A5.2","unk",7.433,2.655,131.394,152.773,29.968,0
"WBGene00004054","AC8.1","WAGO",16.154,24.933,194.659,180.132,8.959,0
"WBGene00006539","tbb-6","unk",43.473,47.984,240.076,262.478,5.478,0
"WBGene00000707","col-133","unk",29.7,43.282,297.853,203.423,6.779,0
"WBGene00003097","lys-8","unk",1678.165,2025.697,3198.188,3330.703,1.76,0
"WBGene00008541","F07A5.2","ALG",13.625,10.618,149.446,159.199,12.893,0
"WBGene00000639","col-63","unk",9.916,7.089,142.439,142.491,17.067,0
"WBGene00020164","T02G5.4","WAGO",240.694,267.215,639.043,679.66,2.591,0
"WBGene00011748","T13F2.9","unk",7.416,11.455,118.319,201.469,16.602,0
"WBGene00000256","bli-6","unk",12.378,22.978,178.518,178.642,9.845,0
"WBGene00017998","F33D4.6","unk",259.318,326.724,67.88,41.232,-5.403,0
"WBGene00010440","ttr-51","unk",2074.388,2188.267,3416.795,3395.829,1.597,0
"WBGene00011795","T16A9.5","ALG",11.624,1.845,147.117,150.728,24.16,0
"WBGene00016447","msd-4","ALG",8.467,1.691,165.883,117.419,30.516,0
"WBGene00045418","F15B9.10","unk",473.562,554.035,1118.315,1077.845,2.131,0
"WBGene00000535","cpi-1","WAGO",848.059,901.385,1599.011,1619.066,1.838,0
"WBGene00013481","Y69H2.3","unk",1684.374,2068.724,3287.088,3321.805,1.758,0
"WBGene00003410","mrp-4","CSR",11074.098,10444.312,7534.898,7374.262,-1.443,0
"WBGene00006366","sym-1","unk",382.83,611.185,136.467,128.69,-3.761,0
"WBGene00020451","fbxa-11","WAGO",30.97,30.979,218.656,192.763,6.639,0
"WBGene00008448","E01G4.6","unk",1.243,8.915,153.53,126.771,25.346,0
"WBGene00019017","F57F4.4","unk",9635.235,10789.796,16880.729,14762.546,1.549,0
"WBGene00019991","R09H3.3","WAGO",2.452,5.255,126.589,134.419,32.348,0
"WBGene00010658","K08D8.4","unk",335.489,365.459,832.948,783.167,2.301,0
"WBGene00020146","got-1.2","WAGO",886.99,1047.314,1751.573,1895.767,1.882,0
"WBGene00011383","T02E9.5","unk",251.984,281.575,33.387,61.264,-5.63,0
"WBGene00022653","ZK105.1","unk",935.543,1036.095,1735.67,1838.536,1.81,0
"WBGene00008422","D2045.2","ALG",4823.18,5310.35,7821.014,7439.96,1.505,0
"WBGene00018743","F53B3.5","unk",564.65,674.124,226.731,240.554,-2.654,0
"WBGene00000786","cpr-6","unk",15163.639,16690.474,22474.732,23186.72,1.433,0
"WBGene00000967","dhs-3","unk",810.509,923.35,1580.427,1656.656,1.864,0
"WBGene00000641","col-65","unk",214.147,274.857,51.148,30.077,-6.059,0
"WBGene00012253","clec-50","unk",2957.129,3320.262,4772.088,5223.51,1.591,0
"WBGene00020187","gsp-4","ALG",11.274,7.921,121.683,155.515,14.728,0
"WBGene00022674","ZK177.9","unk",8.578,3.468,103.147,167.32,23.641,0
"WBGene00017691","ilys-5","unk",10622.844,11888.287,16016.116,17429.316,1.485,0
"WBGene00021487","comt-3","WAGO",160.667,184.289,489.39,501.777,2.865,0
"WBGene00012382","ttr-16","unk",3355.009,3777.239,5441.822,5553.793,1.54,0
"WBGene00007601","C15C6.2","unk",18.561,8.832,154.441,150.55,11.512,0
"WBGene00008851","F15B9.8","unk",138.016,180.483,19.043,14.786,-9.46,0
"WBGene00020554","T19A5.3","unk",176.517,247.73,33.114,35.086,-6.234,0
"WBGene00001692","grd-3","unk",966.886,953.818,1699.058,1669.492,1.754,0
"WBGene00007071","AC3.5","unk",1408.923,1787.63,2913.609,2829.638,1.793,0
"WBGene00012255","lpr-6","unk",187.149,232.822,15.819,37.977,-7.725,0
"WBGene00004457","rpm-1","WAGO",2186.845,2404.879,1380.027,1353.5,-1.681,0
"WBGene00017892","F28B4.3","unk",5369.319,5926.215,8768.587,8131.683,1.495,0
"WBGene00009684","msd-3","ALG",4.838,0.846,169.88,99.806,52.807,0
