"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00012714","abce-1","CSR",4304.524,4252.158,4330.677,4307.674,1.01,0.944
"WBGene00006691","twk-40","unk",7.529,28.709,16.247,16.62,-1.119,0.944
"WBGene00008731","F13B12.3","unk",30.94,57.657,45.73,37.648,-1.072,0.944
"WBGene00219278","R09A8.9","unk",19.822,19.475,25.075,18.182,1.1,0.944
"WBGene00004771","sem-2","CSR",168.187,174.495,187.908,143.424,-1.036,0.944
"WBGene00001955","hlh-11","WAGO",295.626,352.742,377.466,290.794,1.028,0.944
"WBGene00018806","F54D10.5","CSR",1043.382,925.633,927.528,1071.572,1.017,0.944
"WBGene00011831","T19B10.2","unk",637.157,863.197,775.393,698.738,-1.021,0.945
"WBGene00009140","F26A3.1","CSR",788.89,713.89,719.132,755.36,-1.018,0.945
"WBGene00023414","R01H2.7","unk",29.713,45.971,36.105,45.55,1.073,0.945
"WBGene00022127","yop-1","CSR",2540.016,2561.387,2486.381,2672.335,1.011,0.945
"WBGene00006802","unc-69","unk",397.574,364.412,360.281,418.516,1.024,0.945
"WBGene00003107","mab-10","unk",31.297,46.617,47.071,36.957,1.071,0.945
"WBGene00012896","snrp-200","CSR",4999.626,4340.848,4800.297,4431.101,-1.011,0.945
"WBGene00010332","F59D12.5","CSR",140.541,157.832,145.339,164.28,1.036,0.945
"WBGene00020100","mks-1","WAGO",13.662,16.013,13.043,13.531,-1.119,0.945
"WBGene00009522","F38A1.9","unk",3.677,1.735,3.004,3.757,1.267,0.945
"WBGene00019679","spcs-3","ALG",1827.049,1690.164,1706.152,1763.67,-1.013,0.945
"WBGene00004179","prg-2","CSR",4589.401,5266.387,4933.921,5033.714,1.011,0.945
"WBGene00235095","B0035.21","unk",1.207,1.684,0,1.969,-1.473,NA
"WBGene00016575","lido-10","unk",85.315,96.005,116.903,74.319,1.049,0.945
"WBGene00219308","W06G6.20","unk",3.602,5.002,1.996,5.004,-1.235,0.945
"WBGene00021830","Y54E10A.10","CSR",2030.03,1952.219,1915.552,2017.11,-1.012,0.945
"WBGene00195254","H16D19.6","WAGO",6.072,2.557,4,2.899,-1.236,0.945
"WBGene00303013","T04H1.12","unk",6.072,2.557,4,2.899,-1.236,0.945
"WBGene00009270","F30F8.1","unk",3563.155,3308.228,3456.772,3482.125,1.01,0.945
"WBGene00021732","Y49G5B.1","unk",663.049,567.261,615.026,589.541,-1.02,0.945
"WBGene00009306","maph-1.1","CSR",240.753,396.837,333.934,326.189,1.03,0.945
"WBGene00200308","C56C10.15","unk",1.213,1.7,2,0,-1.468,NA
"WBGene00001935","his-61","histone",8832.42,7634.984,8259.568,8034.717,-1.01,0.945
"WBGene00008995","prde-1","CSR",634.204,570.726,600.703,625.349,1.019,0.945
"WBGene00021310","Y32H12A.1","unk",7.44,8.867,7.022,11.788,1.153,0.945
"WBGene00011788","hal-3","CSR",752.414,654.556,692.986,737.026,1.018,0.945
"WBGene00021299","Y27F2A.8","unk",61.52,41.057,54.111,41.781,-1.064,0.945
"WBGene00005421","srh-211","unk",0,0,0,0.653,1.853,NA
"WBGene00219694","linc-36","unk",2.403,1.671,1.997,0.998,-1.353,NA
"WBGene00003012","lin-26","unk",2060.687,2055.275,2068.27,2000.547,-1.012,0.946
"WBGene00045292","fbxa-179","unk",26.05,24.848,27.086,28.072,1.085,0.946
"WBGene00006684","twk-32","unk",17.388,43.588,25.083,31.575,-1.087,0.946
"WBGene00016124","dnc-4","CSR",1101.492,1063.966,1052.335,1143.795,1.015,0.946
"WBGene00044643","H17B01.5","unk",3.693,1.749,7.015,0,1.296,0.946
"WBGene00017703","F22E5.1","unk",128.576,153.458,151.347,141.887,1.037,0.946
"WBGene00017602","clec-211","unk",0,1.822,0,2.843,1.523,NA
"WBGene00044753","F49H12.7","unk",0,2.62,1.002,2.787,1.401,NA
"WBGene00086559","Y43F8B.20","unk",1.232,2.628,0,2.773,-1.395,NA
"WBGene00044041","F57G9.6","unk",3.691,2.62,4.008,0.929,-1.278,0.947
"WBGene00000965","dhs-1","CSR",1675.89,1524.232,1575.856,1580.036,-1.013,0.947
"WBGene00017651","F21A9.2","unk",31.018,47.053,35.112,48.867,1.071,0.947
"WBGene00017207","fbxb-6","unk",12.381,14.147,16.047,13.662,1.117,0.947
"WBGene00015354","snet-1","unk",96.555,144.481,102.927,149.608,1.043,0.947
"WBGene00011925","T22C8.4","unk",76.949,59.262,67.286,61.473,-1.054,0.947
"WBGene00015574","irg-1","unk",30.863,20.221,17.043,29.408,-1.091,0.947
"WBGene00015914","C17F4.8","WAGO",44.402,45.637,44.106,51.609,1.063,0.947
"WBGene00000163","apb-3","CSR",3946.168,3655.095,3925.562,3749.294,1.01,0.947
"WBGene00001503","fum-1","CSR",3416.513,3486.937,3433.239,3404.409,-1.01,0.947
"WBGene00017166","aldo-2","CSR",11878.272,14913.151,13092.413,13411.884,-1.011,0.947
"WBGene00021545","Y43H11AL.1","CSR",1790.715,1776.02,1780.404,1828.252,1.012,0.947
"WBGene00007864","irg-6","unk",3.722,0.888,4.013,1.81,1.288,0.947
"WBGene00008685","mon-2","CSR",5151,4801.798,4996.788,4859.473,-1.009,0.947
"WBGene00004984","spn-4","CSR",19420.952,17904.673,18480.56,18539.529,-1.008,0.947
"WBGene00008868","F15G9.5","unk",50.936,54.295,56.189,43.263,-1.06,0.947
"WBGene00022025","cus-2","CSR",840.116,904.939,855.911,863.417,-1.016,0.947
"WBGene00044712","F22G12.8","unk",43.379,38.983,36.111,40.855,-1.068,0.947
"WBGene00045316","C49F5.9","unk",21.116,19.962,29.873,15.01,1.096,0.948
"WBGene00044690","M02B7.7","CSR",35.299,41.934,32.01,40.307,-1.07,0.948
"WBGene00008960","F19H6.5","unk",0,1.761,0,2.751,1.522,NA
"WBGene00235310","R02D1.2","unk",24.843,18.686,16.054,23.446,-1.095,0.948
"WBGene00021864","fbxa-1","unk",3.715,3.538,4.012,1.821,-1.247,0.948
"WBGene00198132","F56H11.11","unk",0,2.278,0,3.471,1.459,NA
"WBGene00015159","psd-1","unk",1763.116,1680.695,1712.299,1688.64,-1.012,0.948
"WBGene00001445","flp-2","unk",26.077,36.644,28.008,30.451,-1.078,0.948
"WBGene00018593","F48B9.8","WAGO",206.647,217.262,206.59,229.931,1.029,0.948
"WBGene00015152","B0348.2","unk",7.344,0.865,6.007,3.773,1.222,0.948
"WBGene00011339","T01G5.1","unk",114.154,126.972,128.412,104.047,-1.04,0.948
"WBGene00013445","Y66D12A.19","CSR",1497.011,1205.598,1308.518,1348.148,-1.015,0.948
"WBGene00020499","mrps-18.C","CSR",548.974,438.601,527.745,478.533,1.021,0.948
"WBGene00044797","F13E9.13","unk",47.012,46.791,48.136,40.171,-1.063,0.948
"WBGene00000863","cya-1","CSR",1945.605,1844.42,1839.19,1904.156,-1.012,0.948
"WBGene00219718","linc-42","unk",1.212,1.699,1.999,1.943,1.345,NA
"WBGene00015283","C01B10.9","CSR",1952.796,2110.02,1929.463,2087.058,-1.012,0.948
"WBGene00000896","dad-1","ALG",1904.808,1825.118,1821.479,1951.015,1.012,0.948
"WBGene00003639","nhr-49","CSR",1589.419,1517.883,1529.836,1614.514,1.013,0.948
"WBGene00044135","F08G12.11","unk",1.22,0.86,3.002,0,1.447,NA
"WBGene00020359","math-40","unk",58.175,53.021,62.18,42.845,-1.059,0.948
"WBGene00006961","xnp-1","unk",5375.413,5009.804,5252.628,5033.455,-1.009,0.948
"WBGene00021164","svh-11","unk",2.639,1.885,0,3.279,-1.352,NA
"WBGene00007980","C36E8.1","CSR",5057.922,4878.542,4958.993,4887.409,-1.009,0.948
