gene_ID,public_name,,
21ur-1,21ur-1,,
21ur-10,21ur-10,,
21ur-100,21ur-100,,
21ur-1000,21ur-1000,,
21ur-10000,21ur-10000,,
21ur-10001,21ur-10001,,
21ur-10002,21ur-10002,,
21ur-10003,21ur-10003,,
21ur-10004,21ur-10004,,
21ur-10005,21ur-10005,,
21ur-10007,21ur-10007,,
21ur-10008,21ur-10008,,
21ur-10009,21ur-10009,,
21ur-1001,21ur-1001,,
21ur-10010,21ur-10010,,
21ur-10011,21ur-10011,,
21ur-10012,21ur-10012,,
21ur-10013,21ur-10013,,
21ur-10014,21ur-10014,,
21ur-10015,21ur-10015,,
21ur-10016,21ur-10016,,
21ur-10017,21ur-10017,,
21ur-10018,21ur-10018,,
21ur-10019,21ur-10019,,
21ur-1002,21ur-1002,,
21ur-10020,21ur-10020,,
21ur-10021,21ur-10021,,
21ur-10022,21ur-10022,,
21ur-10023,21ur-10023,,
21ur-10024,21ur-10024,,
21ur-10025,21ur-10025,,
21ur-10026,21ur-10026,,
21ur-10027,21ur-10027,,
21ur-10029,21ur-10029,,
21ur-1003,21ur-1003,,
21ur-10030,21ur-10030,,
21ur-10031,21ur-10031,,
21ur-10032,21ur-10032,,
21ur-10033,21ur-10033,,
21ur-10034,21ur-10034,,
21ur-10035,21ur-10035,,
21ur-10036,21ur-10036,,
21ur-10037,21ur-10037,,
21ur-10038,21ur-10038,,
21ur-10039,21ur-10039,,
21ur-1004,21ur-1004,,
21ur-10040,21ur-10040,,
21ur-10042,21ur-10042,,
21ur-10043,21ur-10043,,
21ur-10044,21ur-10044,,
21ur-10045,21ur-10045,,
21ur-10046,21ur-10046,,
21ur-10047,21ur-10047,,
21ur-10048,21ur-10048,,
21ur-10049,21ur-10049,,
21ur-1005,21ur-1005,,
21ur-10050,21ur-10050,,
21ur-10051,21ur-10051,,
21ur-10052,21ur-10052,,
21ur-10053,21ur-10053,,
21ur-10054,21ur-10054,,
21ur-10055,21ur-10055,,
21ur-10056,21ur-10056,,
21ur-10057,21ur-10057,,
21ur-10058,21ur-10058,,
21ur-10059,21ur-10059,,
21ur-1006,21ur-1006,,
21ur-10060,21ur-10060,,
21ur-10061,21ur-10061,,
21ur-10062,21ur-10062,,
21ur-10063,21ur-10063,,
21ur-10064,21ur-10064,,
21ur-10065,21ur-10065,,
21ur-10066,21ur-10066,,
21ur-10067,21ur-10067,,
21ur-10068,21ur-10068,,
21ur-10069,21ur-10069,,
21ur-1007,21ur-1007,,
21ur-10070,21ur-10070,,
21ur-10071,21ur-10071,,
21ur-10072,21ur-10072,,
21ur-10073,21ur-10073,,
21ur-10074,21ur-10074,,
21ur-10075,21ur-10075,,
21ur-10076,21ur-10076,,
21ur-10077,21ur-10077,,
21ur-10078,21ur-10078,,
21ur-10079,21ur-10079,,
21ur-1008,21ur-1008,,
21ur-10080,21ur-10080,,
21ur-10081,21ur-10081,,
21ur-10082,21ur-10082,,
21ur-10083,21ur-10083,,
21ur-10084,21ur-10084,,
21ur-10085,21ur-10085,,
21ur-10086,21ur-10086,,
21ur-10087,21ur-10087,,
21ur-10088,21ur-10088,,
21ur-10089,21ur-10089,,
21ur-1009,21ur-1009,,
21ur-10091,21ur-10091,,
21ur-10092,21ur-10092,,
21ur-10093,21ur-10093,,
21ur-10094,21ur-10094,,
21ur-10095,21ur-10095,,
