"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00007841","unk",21.9,-0.507,0.591,"WBGene00007841","unk",45.101,1.216,0.116
"WBGene00007844","unk",225.947,-0.111,0.74,"WBGene00007844","unk",5.98,0.475,0.901
"WBGene00007846","unk",126.763,0.383,0.312,"WBGene00007846","unk",828.46,0.049,0.884
"WBGene00007847","CSR",21.863,1.589,0.065,"WBGene00007847","CSR",131.654,-0.267,0.649
"WBGene00007848","unk",15.436,-1.586,0.122,"WBGene00007848","unk",1012.054,0.296,0.1
"WBGene00007849","WAGO",329.183,-0.809,0.001,"WBGene00007849","WAGO",196.851,0.337,0.492
"WBGene00007850","WAGO",219.966,-4.494,0,"WBGene00007850","WAGO",112.313,0.066,0.938
"WBGene00007851","unk",10.55,-1.786,0.162,"WBGene00007851","unk",9.693,1.149,0.567
"WBGene00007853","unk",23.374,-1.775,0.035,"WBGene00007853","unk",8.893,2.136,0.241
"WBGene00007854","unk",3.83,-0.76,0.749,"WBGene00007854","unk",3.137,1.126,0.786
"WBGene00007855","WAGO",68.472,-4.631,0,"WBGene00007855","WAGO",66.274,-0.903,0.147
"WBGene00007856","unk",40.935,-5.441,0,"WBGene00007856","unk",52.983,0.191,0.878
"WBGene00007858","unk",4.079,-1.239,0.566,"WBGene00007858","unk",7.678,-0.907,0.717
"WBGene00007859","CSR",176.009,-0.319,0.344,"WBGene00007859","CSR",1633.126,-0.068,0.749
"WBGene00007860","unk",242.969,-0.007,0.985,"WBGene00007860","unk",786.463,0.003,0.992
"WBGene00007862","unk",22.06,0.437,0.65,"WBGene00007862","unk",28.909,-0.568,0.674
"WBGene00007863","ALG",6.83,5.018,0.018,"WBGene00007863","ALG",12.001,0.504,0.822
"WBGene00007866","unk",5.095,-1.358,0.485,"WBGene00007866","unk",11.777,-0.105,0.969
"WBGene00007867","unk",63.546,-4.167,0,"WBGene00007867","unk",78.833,0.809,0.149
"WBGene00007870","unk",50.858,-0.414,0.497,"WBGene00007870","unk",60.911,0.679,0.348
"WBGene00007871","unk",2.36,-0.079,0.98,"WBGene00007871","unk",2.775,-0.388,0.939
"WBGene00007875","unk",25.268,-2.097,0.011,"WBGene00007875","unk",144.717,0.056,0.942
"WBGene00007877","unk",39.801,0.209,0.784,"WBGene00007877","unk",298.559,-0.061,0.916
"WBGene00007878","unk",78.038,-0.266,0.603,"WBGene00007878","unk",137.388,-0.114,0.878
"WBGene00007880","CSR",243.599,1.106,0,"WBGene00007880","CSR",1628.258,0.043,0.859
"WBGene00007882","CSR",929.665,0.71,0,"WBGene00007882","CSR",1010.225,-0.029,0.925
"WBGene00007883","unk",4.885,-0.673,0.757,"WBGene00007883","unk",79.289,-0.782,0.171
"WBGene00007885","unk",5.517,0.421,0.847,"WBGene00007885","unk",147.168,1.222,0.006
"WBGene00007886","WAGO",234.071,-5.167,0,"WBGene00007886","WAGO",201.534,0.116,0.841
"WBGene00007887","unk",13.74,-1.755,0.129,"WBGene00007887","unk",171.349,-0.407,0.354
"WBGene00007888","ALG",6.464,6.438,0.002,"WBGene00007888","ALG",2.628,4.787,0.201
"WBGene00007890","unk",2.304,0.334,0.917,"WBGene00007890","unk",221.736,0.072,0.918
"WBGene00007892","unk",7416.663,3.354,0,"WBGene00007892","unk",91.056,-0.858,0.091
"WBGene00007894","unk",8.105,2.013,0.165,"WBGene00007894","unk",9.322,1.282,0.532
"WBGene00007898","unk",153.521,-4.98,0,"WBGene00007898","unk",64.744,1.222,0.034
"WBGene00007899","WAGO",226.201,-4.323,0,"WBGene00007899","WAGO",60.594,-1.204,0.064
"WBGene00007900","WAGO",396.744,-5.269,0,"WBGene00007900","WAGO",272.502,-0.898,0.002
"WBGene00007901","unk",6.453,-4.383,0.043,"WBGene00007901","unk",22.798,-0.25,0.887
"WBGene00007902","unk",7.416,-1.146,0.477,"WBGene00007902","unk",89.181,-0.56,0.341
"WBGene00007903","unk",26.302,1.483,0.05,"WBGene00007903","unk",57.542,-1.298,0.051
"WBGene00007904","unk",17.391,-0.356,0.766,"WBGene00007904","unk",298.261,-0.297,0.418
"WBGene00007905","unk",2.336,1.567,0.603,"WBGene00007905","unk",11.47,6.892,0.001
"WBGene00007906","CSR",24.636,-0.822,0.334,"WBGene00007906","CSR",268.962,-0.934,0
"WBGene00007907","unk",648.097,-0.692,0,"WBGene00007907","unk",450.192,0.006,0.99
"WBGene00007908","unk",4.095,-0.509,0.829,"WBGene00007908","unk",34.852,-0.599,0.612
"WBGene00007911","unk",20.761,-1.652,0.061,"WBGene00007911","unk",52.858,-0.807,0.262
"WBGene00007912","CSR",144.698,-0.37,0.381,"WBGene00007912","CSR",3108.147,0.01,0.964
"WBGene00007913","unk",18.912,1.511,0.096,"WBGene00007913","unk",264.294,1.231,0
"WBGene00007914","CSR",558.661,0.248,0.235,"WBGene00007914","CSR",2214.424,-0.153,0.28
"WBGene00007916","unk",2.072,-2.619,0.416,"WBGene00007916","unk",49.206,-0.69,0.449
"WBGene00007917","unk",211.777,-1.138,0,"WBGene00007917","unk",1400.441,0.158,0.36
"WBGene00007918","CSR",278.034,-0.462,0.078,"WBGene00007918","CSR",604.367,0.083,0.805
"WBGene00007919","unk",1.984,0.457,0.901,"WBGene00007919","unk",144.011,0.205,0.752
"WBGene00007921","unk",3008.95,-0.093,0.545,"WBGene00007921","unk",1897.412,-0.086,0.639
"WBGene00007922","CSR",251.342,1.381,0,"WBGene00007922","CSR",850.103,0.163,0.477
"WBGene00007923","ALG",5.731,3.715,0.048,"WBGene00007923","ALG",362.972,-0.076,0.865
"WBGene00007924","WAGO",779.41,-1.941,0,"WBGene00007924","WAGO",864.299,0.132,0.593
"WBGene00007925","unk",29.399,-1.058,0.219,"WBGene00007925","unk",141.035,-0.266,0.659
"WBGene00007926","WAGO",632.942,-5.575,0,"WBGene00007926","WAGO",82.667,0.625,0.295
"WBGene00007927","CSR",342.84,1.667,0,"WBGene00007927","CSR",2163.363,0.514,0
"WBGene00007928","unk",600.862,-4.884,0,"WBGene00007928","unk",58.267,0.594,0.473
"WBGene00007929","unk",2.415,-1.581,0.577,"WBGene00007929","unk",2.984,0.708,0.887
"WBGene00007931","unk",3.124,0.626,0.811,"WBGene00007931","unk",132.914,-0.211,0.737
"WBGene00007932","unk",9.174,0.377,0.813,"WBGene00007932","unk",186.972,0.613,0.09
"WBGene00007933","unk",2.61,0.241,0.936,"WBGene00007933","unk",10.515,1.112,0.563
"WBGene00007934","unk",17.679,-0.161,0.916,"WBGene00007934","unk",132.767,0.005,0.997
"WBGene00007935","unk",93.693,0.042,0.937,"WBGene00007935","unk",17.766,-0.957,0.521
"WBGene00007938","unk",2.295,2.252,0.451,"WBGene00007938","unk",30.012,-0.496,0.706
"WBGene00007939","unk",23.462,0.346,0.733,"WBGene00007939","unk",106.065,0.067,0.938
"WBGene00007941","WAGO",1196.042,-5.862,0,"WBGene00007941","WAGO",198.428,0.474,0.197
"WBGene00007942","unk",33.38,1.732,0.011,"WBGene00007942","unk",812.399,0.429,0.011
"WBGene00007943","WAGO",151.134,0.571,0.09,"WBGene00007943","WAGO",517.618,-0.224,0.392
"WBGene00007944","unk",29.219,0.419,0.614,"WBGene00007944","unk",691.699,0.085,0.789
"WBGene00007945","unk",4.552,1.117,0.581,"WBGene00007945","unk",67.169,0.258,0.776
"WBGene00007946","unk",4.397,0.495,0.829,"WBGene00007946","unk",17.838,-0.052,0.981
"WBGene00007948","unk",6.444,1.364,0.41,"WBGene00007948","unk",4.074,2.755,0.352
