"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00000001","unk",543.157,-1.263,0,"WBGene00000001","unk",2284.848,-0.023,0.921
"WBGene00000003","unk",2.719,-1.635,0.563,"WBGene00000003","unk",113.844,-0.414,0.455
"WBGene00000004","unk",202.99,0.429,0.147,"WBGene00000004","unk",304.035,-0.542,0.054
"WBGene00000005","unk",5.634,-1.137,0.535,"WBGene00000005","unk",164.889,0.413,0.336
"WBGene00000006","unk",5.004,-1.327,0.506,"WBGene00000006","unk",161.544,-0.584,0.153
"WBGene00000007","unk",11.214,-1.293,0.299,"WBGene00000007","unk",111.793,0.056,0.949
"WBGene00000008","unk",7.229,-1.239,0.436,"WBGene00000008","unk",28.412,0.568,0.647
"WBGene00000009","unk",5.404,1.78,0.31,"WBGene00000009","unk",10.851,-0.163,0.957
"WBGene00000010","CSR",238.906,0.593,0.024,"WBGene00000010","CSR",777.718,0.028,0.939
"WBGene00000018","CSR",43.089,-0.246,0.73,"WBGene00000018","CSR",781.452,-0.535,0.001
"WBGene00000019","ALG",5.332,4.665,0.039,"WBGene00000019","ALG",46.162,2.144,0.003
"WBGene00000020","unk",199.13,0.096,0.794,"WBGene00000020","unk",276.042,-0.249,0.575
"WBGene00000021","unk",4.205,-1.806,0.393,"WBGene00000021","unk",3.801,5.292,0.087
"WBGene00000022","WAGO",51.237,0.756,0.224,"WBGene00000022","WAGO",643.039,0.386,0.163
"WBGene00000023","ALG",10.033,3.962,0.006,"WBGene00000023","ALG",39.048,1.432,0.059
"WBGene00000031","unk",29.454,2.065,0.003,"WBGene00000031","unk",16.118,-3.61,0.009
"WBGene00000035","unk",106.801,0.823,0.033,"WBGene00000035","unk",152.986,-0.023,0.978
"WBGene00000036","unk",12.19,-0.17,0.906,"WBGene00000036","unk",237.869,-0.364,0.392
"WBGene00000037","unk",12.563,-0.095,0.946,"WBGene00000037","unk",126.794,-1.874,0
"WBGene00000038","unk",17.509,-1.88,0.061,"WBGene00000038","unk",10.365,-0.667,0.766
"WBGene00000039","unk",61.179,-3.231,0,"WBGene00000039","unk",321.796,-2.042,0
"WBGene00000040","CSR",125.179,1.753,0,"WBGene00000040","CSR",5504.99,0.919,0
"WBGene00000041","ALG",915.491,-0.695,0,"WBGene00000041","ALG",20130.1,0.31,0
"WBGene00000044","unk",55.531,-0.037,0.959,"WBGene00000044","unk",22.706,-0.598,0.67
"WBGene00000045","unk",10.326,-2.969,0.031,"WBGene00000045","unk",2.826,-0.039,0.995
"WBGene00000046","unk",53.659,-0.36,0.553,"WBGene00000046","unk",17.699,-1.313,0.325
"WBGene00000047","unk",4.942,2.835,0.135,"WBGene00000047","unk",44.624,-1.131,0.134
"WBGene00000048","unk",72.584,-5.583,0,"WBGene00000048","unk",16.105,-0.916,0.586
"WBGene00000049","unk",7.066,2.615,0.119,"WBGene00000049","unk",6.34,-0.142,0.969
"WBGene00000050","unk",17.819,0.754,0.458,"WBGene00000050","unk",26.46,1.277,0.227
"WBGene00000051","unk",2.703,0.286,0.921,"WBGene00000051","unk",29.627,0.176,0.917
"WBGene00000053","unk",2.008,1.236,0.693,"WBGene00000053","unk",5.137,1.465,0.683
"WBGene00000055","unk",24.661,-0.458,0.662,"WBGene00000055","unk",52.825,0.236,0.828
"WBGene00000056","unk",82.804,-1.625,0,"WBGene00000056","unk",30.943,-3.139,0.002
"WBGene00000057","unk",426.902,-0.31,0.162,"WBGene00000057","unk",42.955,0.138,0.918
"WBGene00000059","unk",39.654,0.347,0.626,"WBGene00000059","unk",26.855,-0.898,0.423
"WBGene00000060","unk",2.108,0.649,0.839,"WBGene00000060","unk",12.811,-0.464,0.833
"WBGene00000062","unk",9.583,-2.495,0.073,"WBGene00000062","unk",5.184,-0.897,0.782
"WBGene00000063","ALG",3.694,2.339,0.292,"WBGene00000063","ALG",11020.771,0.227,0.007
"WBGene00000064","ALG",509.116,-0.137,0.606,"WBGene00000064","ALG",18622.645,0.017,0.912
"WBGene00000065","ALG",257.541,0.07,0.835,"WBGene00000065","ALG",15362.179,0.179,0.033
"WBGene00000066","CSR",85.42,-0.061,0.914,"WBGene00000066","CSR",7014.076,0.326,0.368
"WBGene00000067","unk",35.646,-0.397,0.594,"WBGene00000067","unk",5377.62,0.289,0.006
"WBGene00000068","unk",91.774,-4.216,0,"WBGene00000068","unk",229.915,-0.622,0.043
"WBGene00000069","unk",5.027,-1.657,0.388,"WBGene00000069","unk",36.001,-0.723,0.478
"WBGene00000070","unk",48.732,0.712,0.219,"WBGene00000070","unk",205.526,-0.468,0.224
"WBGene00000071","unk",6.736,0.173,0.933,"WBGene00000071","unk",225.321,0.161,0.745
"WBGene00000072","unk",9.47,0.441,0.773,"WBGene00000072","unk",143.822,0.014,0.987
"WBGene00000073","unk",117.003,-2.037,0,"WBGene00000073","unk",592.467,-0.12,0.698
"WBGene00000074","CSR",71.58,-0.096,0.877,"WBGene00000074","CSR",225.268,-0.282,0.491
"WBGene00000075","WAGO",364.726,-3.78,0,"WBGene00000075","WAGO",621.244,-0.416,0.031
"WBGene00000079","CSR",705.101,0.265,0.157,"WBGene00000079","CSR",4004.535,-0.308,0.004
"WBGene00000080","CSR",325.334,-0.411,0.097,"WBGene00000080","CSR",2656.085,0.06,0.755
"WBGene00000081","WAGO",6412.118,-2.355,0,"WBGene00000081","WAGO",2184.173,0.278,0.049
"WBGene00000082","unk",8.479,-0.885,0.62,"WBGene00000082","unk",71.552,-1.187,0.053
"WBGene00000083","unk",5.829,0.118,0.955,"WBGene00000083","unk",731.985,0.429,0.019
"WBGene00000084","unk",17.797,1.874,0.052,"WBGene00000084","unk",295.217,0.177,0.661
"WBGene00000086","unk",9.993,-0.275,0.856,"WBGene00000086","unk",176.645,-0.99,0.007
"WBGene00000088","unk",40.78,-0.732,0.252,"WBGene00000088","unk",263.701,0.304,0.446
"WBGene00000089","WAGO",11381.672,0.814,0,"WBGene00000089","WAGO",85.313,-0.592,0.314
"WBGene00000090","CSR",362.811,0.007,0.985,"WBGene00000090","CSR",3674.53,-0.146,0.421
"WBGene00000092","unk",79.267,0.419,0.385,"WBGene00000092","unk",586.318,-0.342,0.115
"WBGene00000093","CSR",177.076,0.359,0.303,"WBGene00000093","CSR",476.128,0.281,0.339
"WBGene00000094","CSR",78.958,-0.079,0.89,"WBGene00000094","CSR",593.08,0.035,0.927
"WBGene00000095","unk",54.246,-1.426,0.012,"WBGene00000095","unk",595.97,-0.34,0.111
"WBGene00000096","unk",48.671,-0.578,0.348,"WBGene00000096","unk",10.499,-1.249,0.505
"WBGene00000097","CSR",673.078,0.521,0.004,"WBGene00000097","CSR",806.253,-0.002,0.997
"WBGene00000098","ALG",5.636,3.653,0.061,"WBGene00000098","ALG",5409.11,-0.132,0.229
"WBGene00000099","CSR",995.881,-1.201,0,"WBGene00000099","CSR",2429.372,0.018,0.944
"WBGene00000100","unk",653.324,0.412,0.05,"WBGene00000100","unk",1310.886,-0.564,0
"WBGene00000101","CSR",462.754,-0.391,0.068,"WBGene00000101","CSR",9897.913,-0.175,0.076
"WBGene00000102","CSR",312.912,-0.174,0.525,"WBGene00000102","CSR",6582.669,-0.091,0.458
"WBGene00000103","unk",36.107,-1.897,0.01,"WBGene00000103","unk",302.921,0.01,0.988
"WBGene00000105","WAGO",123.314,-1.82,0,"WBGene00000105","WAGO",504.631,-0.694,0.001
"WBGene00000106","CSR",234.79,0.509,0.066,"WBGene00000106","CSR",1138.77,-0.452,0.001
"WBGene00000107","CSR",109.497,0.015,0.977,"WBGene00000107","CSR",6448.439,0.325,0
"WBGene00000109","CSR",1010.684,0.299,0.068,"WBGene00000109","CSR",3080.356,-0.057,0.764
"WBGene00000110","unk",688.687,-0.472,0.01,"WBGene00000110","unk",2724.145,0.092,0.57
"WBGene00000111","unk",48.4,-4.45,0,"WBGene00000111","unk",145.989,-0.162,0.825
"WBGene00000112","unk",646.386,-1.129,0,"WBGene00000112","unk",1390.989,0.297,0.039
"WBGene00000113","unk",63159.946,7.389,0,"WBGene00000113","unk",705.755,-1.1,0
"WBGene00000114","ALG",3.388,2.839,0.24,"WBGene00000114","ALG",13118.168,0.308,0.255
"WBGene00000115","CSR",2303.948,0.229,0.11,"WBGene00000115","CSR",4079.251,0.71,0
"WBGene00000116","unk",7.169,1.335,0.385,"WBGene00000116","unk",611.47,0.556,0.009
"WBGene00000117","unk",260.765,0.499,0.076,"WBGene00000117","unk",1025.689,0.051,0.863
"WBGene00000118","unk",8.622,0.999,0.492,"WBGene00000118","unk",1356.397,0.482,0.001
"WBGene00000120","unk",29.864,-1.026,0.173,"WBGene00000120","unk",699.945,-0.275,0.18
"WBGene00000121","CSR",243.718,-1.076,0,"WBGene00000121","CSR",5077.85,-0.111,0.406
"WBGene00000122","CSR",561.773,0.455,0.017,"WBGene00000122","CSR",4185.52,0.004,0.985
"WBGene00000123","CSR",4363.489,0.212,0.111,"WBGene00000123","CSR",5119.245,0.444,0
"WBGene00000133","unk",3.129,3.847,0.162,"WBGene00000133","unk",130.586,1.115,0.004
"WBGene00000134","unk",67.44,0.223,0.692,"WBGene00000134","unk",5.082,0.323,0.941
"WBGene00000136","unk",12.373,0.204,0.885,"WBGene00000136","unk",581.617,0.271,0.293
"WBGene00000137","CSR",19.534,-0.604,0.551,"WBGene00000137","CSR",744.709,-0.261,0.199
"WBGene00000138","unk",24.106,-0.683,0.429,"WBGene00000138","unk",102.663,0.226,0.787
"WBGene00000139","unk",23.71,-0.141,0.89,"WBGene00000139","unk",100.752,0.67,0.211
"WBGene00000140","WAGO",2365.898,-0.91,0,"WBGene00000140","WAGO",19896.816,0.465,0.084
"WBGene00000142","CSR",272.194,0.385,0.17,"WBGene00000142","CSR",2990.354,-0.03,0.894
"WBGene00000143","CSR",291.633,0.32,0.228,"WBGene00000143","CSR",2855.26,-0.069,0.7
"WBGene00000144","CSR",145.767,0.03,0.946,"WBGene00000144","CSR",705.907,-0.078,0.81
"WBGene00000145","CSR",124.077,0.899,0.024,"WBGene00000145","CSR",712.084,0.045,0.899
"WBGene00000146","CSR",554.585,0.043,0.869,"WBGene00000146","CSR",6797.379,-0.087,0.473
"WBGene00000147","unk",263.185,-0.475,0.078,"WBGene00000147","unk",454.871,0.308,0.25
"WBGene00000148","CSR",241.083,-0.003,0.993,"WBGene00000148","CSR",1974.65,-0.115,0.498
"WBGene00000149","unk",18.707,0.585,0.579,"WBGene00000149","unk",2828.657,0.013,0.966
"WBGene00000150","ALG",2.779,5.211,0.063,"WBGene00000150","ALG",419.859,0.228,0.443
"WBGene00000151","CSR",478.138,0.191,0.394,"WBGene00000151","CSR",1626.53,0.097,0.627
"WBGene00000155","CSR",945.275,0.064,0.783,"WBGene00000155","CSR",6931.659,-0.074,0.57
"WBGene00000156","CSR",1086.048,0.05,0.806,"WBGene00000156","CSR",6465.624,-0.18,0.071
"WBGene00000157","unk",113.376,-0.292,0.484,"WBGene00000157","unk",321.145,-0.484,0.076
"WBGene00000158","CSR",668.502,-0.028,0.909,"WBGene00000158","CSR",3020.159,-0.097,0.507
"WBGene00000159","unk",315.955,-0.094,0.766,"WBGene00000159","unk",1347.043,0.013,0.964
"WBGene00000160","CSR",407.112,-0.54,0.012,"WBGene00000160","CSR",2612.598,-0.109,0.463
"WBGene00000161","CSR",103.235,0.482,0.234,"WBGene00000161","CSR",1757.01,0.001,0.997
"WBGene00000162","CSR",441.827,-0.118,0.64,"WBGene00000162","CSR",1744.807,-0.193,0.183
"WBGene00000163","CSR",197.172,-1.318,0,"WBGene00000163","CSR",3819.03,0.015,0.947
"WBGene00000164","unk",35.129,0.98,0.141,"WBGene00000164","unk",500.275,-0.179,0.569
"WBGene00000165","unk",194.84,0.684,0.017,"WBGene00000165","unk",1884.748,-0.032,0.898
"WBGene00000168","CSR",200.894,0.539,0.083,"WBGene00000168","CSR",340.88,-0.146,0.755
"WBGene00000169","unk",11.315,-0.412,0.768,"WBGene00000169","unk",324.826,-0.035,0.951
"WBGene00000170","unk",10.701,-1.774,0.16,"WBGene00000170","unk",925.699,-1.854,0
"WBGene00000171","unk",3.038,2.006,0.406,"WBGene00000171","unk",8.941,-0.004,0.999
"WBGene00000172","unk",22.986,-0.277,0.779,"WBGene00000172","unk",186.85,0.142,0.823
"WBGene00000174","unk",2.648,-0.237,0.936,"WBGene00000174","unk",7.713,-0.62,0.82
"WBGene00000175","unk",37.252,-1.439,0.029,"WBGene00000175","unk",1766.004,0.402,0.001
"WBGene00000176","unk",2.374,0.929,0.75,"WBGene00000176","unk",867.828,0.599,0.003
"WBGene00000177","WAGO",201.127,-6.366,0,"WBGene00000177","WAGO",85.318,0.196,0.844
"WBGene00000178","WAGO",82.718,-4.099,0,"WBGene00000178","WAGO",449.243,-0.09,0.821
"WBGene00000179","unk",17.965,1.44,0.125,"WBGene00000179","unk",536.265,0.64,0.002
"WBGene00000180","unk",6.274,0.094,0.962,"WBGene00000180","unk",268.295,-0.126,0.798
"WBGene00000181","CSR",62.718,0.594,0.273,"WBGene00000181","CSR",2950.833,0.182,0.192
"WBGene00000182","ALG",737.857,1.105,0,"WBGene00000182","ALG",2319.839,0.037,0.877
"WBGene00000183","CSR",361.429,-0.105,0.703,"WBGene00000183","CSR",4898.661,-0.174,0.111
"WBGene00000184","CSR",226.181,-0.008,0.983,"WBGene00000184","CSR",378.933,0.131,0.732
"WBGene00000186","unk",1018.921,-1.173,0,"WBGene00000186","unk",972.747,0.03,0.923
"WBGene00000187","ALG",2.133,3.28,0.304,"WBGene00000187","ALG",1001.925,0.152,0.462
"WBGene00000189","CSR",27.895,-0.474,0.567,"WBGene00000189","CSR",415.527,0.202,0.536
"WBGene00000190","unk",15.677,0.731,0.495,"WBGene00000190","unk",110.707,-1.6,0
"WBGene00000191","unk",11.35,1.538,0.245,"WBGene00000191","unk",37.896,-0.223,0.87
"WBGene00000192","unk",469.811,-0.186,0.424,"WBGene00000192","unk",2172.799,-0.043,0.846
"WBGene00000193","unk",2.127,-1.526,0.636,"WBGene00000193","unk",12.358,-1.022,0.566
"WBGene00000195","CSR",51.117,-0.312,0.624,"WBGene00000195","CSR",456.696,-0.498,0.031
"WBGene00000196","unk",638.658,-1.323,0,"WBGene00000196","unk",1341.658,0.17,0.313
"WBGene00000197","CSR",5328.155,0.148,0.272,"WBGene00000197","CSR",7789.094,-0.256,0.002
"WBGene00000198","ALG",5.167,3.539,0.074,"WBGene00000198","ALG",2487.113,0.003,0.99
"WBGene00000199","CSR",306.803,0.449,0.074,"WBGene00000199","CSR",1650.913,-0.035,0.893
"WBGene00000200","unk",284.308,-1.038,0,"WBGene00000200","unk",3086.357,0.004,0.988
"WBGene00000201","CSR",367.105,0.657,0.003,"WBGene00000201","CSR",1852.365,-0.155,0.301
"WBGene00000202","unk",508.609,0.533,0.006,"WBGene00000202","unk",1868.972,0.053,0.82
"WBGene00000203","CSR",212.541,0.876,0.001,"WBGene00000203","CSR",1059.856,-0.103,0.653
"WBGene00000204","CSR",746.526,0.486,0.006,"WBGene00000204","CSR",764.091,-0.092,0.767
"WBGene00000205","CSR",208.292,0.562,0.055,"WBGene00000205","CSR",619.805,0.004,0.993
"WBGene00000206","CSR",153.602,0.309,0.394,"WBGene00000206","CSR",6497.401,-0.018,0.924
"WBGene00000207","WAGO",403.271,-3.762,0,"WBGene00000207","WAGO",3332.588,0.336,0.004
"WBGene00000208","CSR",215.646,0.153,0.646,"WBGene00000208","CSR",1061.712,0.002,0.996
"WBGene00000209","CSR",164.689,0.338,0.318,"WBGene00000209","CSR",2790.683,0.003,0.991
"WBGene00000210","unk",156.137,-1.984,0,"WBGene00000210","unk",1442.122,0.223,0.15
"WBGene00000211","unk",5.641,0.427,0.829,"WBGene00000211","unk",283.435,0.08,0.878
"WBGene00000212","unk",5.224,2.021,0.27,"WBGene00000212","unk",138.308,0.811,0.059
"WBGene00000213","unk",37.497,-4.324,0,"WBGene00000213","unk",20.657,2.402,0.024
"WBGene00000214","CSR",18.619,1.196,0.196,"WBGene00000214","CSR",22804.914,0.272,0.438
"WBGene00000215","unk",30.161,2.032,0.004,"WBGene00000215","unk",11464.292,0.487,0
"WBGene00000216","unk",44.202,1.394,0.015,"WBGene00000216","unk",21826.968,0.43,0
"WBGene00000217","unk",68.73,0.053,0.935,"WBGene00000217","unk",11576.696,0.797,0
"WBGene00000218","unk",16.25,1.486,0.131,"WBGene00000218","unk",9167.389,0.23,0.039
"WBGene00000219","unk",62.565,1.076,0.028,"WBGene00000219","unk",22411.459,0.298,0.006
"WBGene00000220","unk",2.124,0.628,0.846,"WBGene00000220","unk",69.045,-3.019,0
"WBGene00000221","WAGO",771.298,-2.662,0,"WBGene00000221","WAGO",438.919,0.404,0.094
"WBGene00000222","WAGO",323.987,-0.607,0.012,"WBGene00000222","WAGO",267.713,-0.391,0.272
"WBGene00000223","CSR",606.686,0.453,0.014,"WBGene00000223","CSR",2971.525,0.069,0.691
"WBGene00000224","WAGO",168.729,-2.821,0,"WBGene00000224","WAGO",533.934,-0.621,0.01
"WBGene00000225","unk",65.688,-0.092,0.889,"WBGene00000225","unk",398.029,-0.307,0.268
"WBGene00000226","CSR",2392.571,0.638,0,"WBGene00000226","CSR",8801.763,-0.252,0.005
"WBGene00000227","CSR",7138.538,0.647,0,"WBGene00000227","CSR",1695.43,-0.179,0.255
"WBGene00000228","unk",14.822,1.029,0.345,"WBGene00000228","unk",2427.015,0.389,0.002
"WBGene00000229","ALG",631.054,-0.07,0.761,"WBGene00000229","ALG",39921.674,-0.013,0.929
"WBGene00000230","ALG",3.35,3.974,0.131,"WBGene00000230","ALG",6354.752,0.065,0.647
"WBGene00000231","CSR",944.558,0.296,0.09,"WBGene00000231","CSR",1522.763,0.213,0.299
"WBGene00000232","unk",57.752,0.876,0.095,"WBGene00000232","unk",128.53,-0.123,0.875
"WBGene00000233","unk",56.363,-0.142,0.827,"WBGene00000233","unk",244.336,0.336,0.465
"WBGene00000235","CSR",123.07,0.393,0.349,"WBGene00000235","CSR",1559.468,-0.017,0.951
"WBGene00000236","unk",462.297,-0.206,0.388,"WBGene00000236","unk",1470.468,0.171,0.299
"WBGene00000237","WAGO",143.393,-3.148,0,"WBGene00000237","WAGO",270.652,-0.177,0.687
"WBGene00000238","unk",45.19,0.952,0.109,"WBGene00000238","unk",211.933,0.046,0.942
"WBGene00000239","unk",3.782,0.394,0.887,"WBGene00000239","unk",364.644,0.397,0.21
"WBGene00000240","unk",9.55,-1.386,0.303,"WBGene00000240","unk",1618.379,0.522,0
"WBGene00000241","unk",92.289,-3.435,0,"WBGene00000241","unk",9.491,-2.522,0.138
"WBGene00000245","unk",25.121,1.34,0.096,"WBGene00000245","unk",511.619,0.108,0.751
"WBGene00000246","unk",9.059,1.44,0.282,"WBGene00000246","unk",78.026,0.127,0.899
"WBGene00000247","CSR",739.65,1.12,0,"WBGene00000247","CSR",1248.334,-0.082,0.761
"WBGene00000248","unk",339.78,-0.896,0,"WBGene00000248","unk",1474.996,-0.301,0.029
"WBGene00000249","CSR",249.829,0.504,0.066,"WBGene00000249","CSR",955.768,-0.15,0.533
"WBGene00000250","unk",289.288,-0.956,0,"WBGene00000250","unk",1122.515,0.084,0.73
"WBGene00000251","unk",2.953,0.543,0.84,"WBGene00000251","unk",29.902,3.312,0
"WBGene00000252","unk",2.437,0.952,0.785,"WBGene00000252","unk",19.989,3.637,0.002
"WBGene00000253","unk",129.21,-3.631,0,"WBGene00000253","unk",742.828,0.142,0.613
"WBGene00000254","unk",716.396,-0.795,0,"WBGene00000254","unk",5849.469,-0.094,0.429
"WBGene00000255","unk",9.261,-1.774,0.194,"WBGene00000255","unk",10.399,2.899,0.081
"WBGene00000256","unk",56.085,1.841,0,"WBGene00000256","unk",98.129,3.299,0
"WBGene00000257","ALG",3693.187,-0.512,0,"WBGene00000257","ALG",5261.999,-0.155,0.133
"WBGene00000259","unk",241.19,-0.278,0.342,"WBGene00000259","unk",1425.022,0.162,0.333
"WBGene00000262","WAGO",313.325,-3.635,0,"WBGene00000262","WAGO",180.716,-0.289,0.54
"WBGene00000264","CSR",870.383,0.387,0.023,"WBGene00000264","CSR",1723.468,-0.287,0.059
"WBGene00000265","CSR",580.311,0.356,0.065,"WBGene00000265","CSR",1315.245,-0.201,0.28
"WBGene00000267","WAGO",231.066,-4.892,0,"WBGene00000267","WAGO",56.809,-0.043,0.973
"WBGene00000268","ALG",7.372,2.386,0.149,"WBGene00000268","ALG",1761.033,0.243,0.073
"WBGene00000269","ALG",2.889,5.279,0.057,"WBGene00000269","ALG",256.297,-0.159,0.726
"WBGene00000270","WAGO",78.795,-2.392,0,"WBGene00000270","WAGO",579.072,-0.151,0.59
"WBGene00000271","CSR",744.959,0.379,0.045,"WBGene00000271","CSR",3043.052,-0.101,0.485
"WBGene00000272","unk",4.051,1.521,0.51,"WBGene00000272","unk",7.439,-2.787,0.162
"WBGene00000273","unk",13.603,1.391,0.264,"WBGene00000273","unk",3843.579,0.754,0
"WBGene00000274","CSR",1626.418,0.084,0.624,"WBGene00000274","CSR",2005.581,-0.018,0.941
"WBGene00000275","ALG",2937.203,0.151,0.311,"WBGene00000275","ALG",7539.046,-0.078,0.514
"WBGene00000276","CSR",359.135,0.671,0.002,"WBGene00000276","CSR",2548.597,-0.087,0.611
"WBGene00000277","unk",15.727,0.457,0.693,"WBGene00000277","unk",1551.297,0.037,0.964
"WBGene00000279","unk",29.929,-0.979,0.217,"WBGene00000279","unk",65.907,0.44,0.57
"WBGene00000280","unk",4.54,-1.038,0.614,"WBGene00000280","unk",31.275,-1.331,0.171
"WBGene00000281","unk",2.961,0.944,0.722,"WBGene00000281","unk",609.436,0.325,0.202
"WBGene00000282","unk",3.311,1.636,0.488,"WBGene00000282","unk",1353.295,0.121,0.587
"WBGene00000283","unk",8.151,-1.015,0.5,"WBGene00000283","unk",430.627,0.324,0.219
"WBGene00000284","unk",4.345,-2.626,0.227,"WBGene00000284","unk",95.618,-1.341,0.002
"WBGene00000285","unk",4.327,0.732,0.735,"WBGene00000285","unk",131.132,-0.118,0.874
"WBGene00000286","unk",3.4,-3.297,0.207,"WBGene00000286","unk",170.858,0.115,0.86
"WBGene00000287","unk",6.808,-1.518,0.348,"WBGene00000287","unk",37.796,0.932,0.29
"WBGene00000288","unk",3.163,1.11,0.658,"WBGene00000288","unk",94.054,-1.241,0.006
"WBGene00000289","CSR",120.461,0.141,0.752,"WBGene00000289","CSR",2241.268,-0.258,0.028
"WBGene00000292","CSR",391.763,1.139,0,"WBGene00000292","CSR",2094.323,-0.114,0.475
"WBGene00000293","CSR",391.11,0.698,0.001,"WBGene00000293","CSR",2871.569,-0.058,0.739
"WBGene00000294","WAGO",161.159,-1.16,0,"WBGene00000294","WAGO",1227.098,-0.047,0.865
"WBGene00000295","unk",37.789,0.873,0.182,"WBGene00000295","unk",23.761,-0.694,0.618
"WBGene00000296","unk",4.041,-0.879,0.698,"WBGene00000296","unk",26.118,-0.605,0.635
"WBGene00000298","unk",7.831,1.288,0.399,"WBGene00000298","unk",898.279,0.322,0.095
"WBGene00000301","unk",63.748,-1.401,0.004,"WBGene00000301","unk",2004.28,-0.351,0.012
"WBGene00000302","unk",1.931,-1.34,0.693,"WBGene00000302","unk",17.273,-0.221,0.915
"WBGene00000366","CSR",1705.057,0.014,0.942,"WBGene00000366","CSR",6849.934,-0.089,0.519
"WBGene00000367","unk",28.173,-0.038,0.97,"WBGene00000367","unk",425.468,-0.388,0.166
"WBGene00000368","WAGO",129.857,-1.843,0,"WBGene00000368","WAGO",291.062,-0.526,0.107
"WBGene00000369","CSR",1063.731,0.535,0,"WBGene00000369","CSR",1063.707,-0.099,0.7
"WBGene00000370","unk",12.37,1.005,0.405,"WBGene00000370","unk",1315.149,0.315,0.055
"WBGene00000371","unk",541.717,-0.337,0.106,"WBGene00000371","unk",4655,-0.043,0.811
"WBGene00000372","unk",2.844,-0.424,0.88,"WBGene00000372","unk",33.749,0.509,0.67
"WBGene00000374","unk",308.187,-0.375,0.139,"WBGene00000374","unk",320.534,1.194,0
"WBGene00000375","CSR",96.552,-0.126,0.801,"WBGene00000375","CSR",1367.54,0.093,0.67
"WBGene00000376","CSR",471.182,0.37,0.082,"WBGene00000376","CSR",5051.055,-0.107,0.435
"WBGene00000377","CSR",1044.282,0.07,0.734,"WBGene00000377","CSR",11463.111,-0.272,0
"WBGene00000378","CSR",683.738,-0.341,0.07,"WBGene00000378","CSR",6795.46,-0.24,0.008
"WBGene00000379","CSR",530.706,-0.021,0.938,"WBGene00000379","CSR",10207.596,-0.237,0.004
"WBGene00000380","CSR",276.141,-0.089,0.774,"WBGene00000380","CSR",10872.445,-0.152,0.108
"WBGene00000381","unk",1222.97,0.172,0.327,"WBGene00000381","unk",10003.772,-0.206,0.014
"WBGene00000382","CSR",1009.454,0.749,0,"WBGene00000382","CSR",2508.319,-0.138,0.36
"WBGene00000383","CSR",603.558,-0.528,0.007,"WBGene00000383","CSR",4507.596,-0.048,0.765
"WBGene00000386","CSR",687.324,0.731,0,"WBGene00000386","CSR",5881.044,-0.09,0.51
"WBGene00000387","WAGO",416.551,-2.397,0,"WBGene00000387","WAGO",785.587,-0.392,0.031
"WBGene00000388","CSR",54.945,0.64,0.24,"WBGene00000388","CSR",1639.613,-0.03,0.911
"WBGene00000389","ALG",8.94,5.438,0.006,"WBGene00000389","ALG",6.263,2.623,0.289
"WBGene00000390","CSR",358.624,0.163,0.57,"WBGene00000390","CSR",3007.377,0.027,0.902
"WBGene00000391","unk",3.141,-0.916,0.748,"WBGene00000391","unk",106.574,-0.275,0.708
"WBGene00000392","unk",189.181,0.055,0.888,"WBGene00000392","unk",504.262,-0.189,0.529
"WBGene00000393","WAGO",399.399,-5.541,0,"WBGene00000393","WAGO",677.596,-0.054,0.88
"WBGene00000395","unk",43.317,-0.305,0.658,"WBGene00000395","unk",828.957,-0.558,0.001
"WBGene00000397","WAGO",185.857,-3.218,0,"WBGene00000397","WAGO",144.164,-1.384,0
"WBGene00000399","unk",7.116,0.072,0.969,"WBGene00000399","unk",47.839,0.036,0.979
"WBGene00000401","unk",3.775,-1.184,0.602,"WBGene00000401","unk",43.947,-1.058,0.158
"WBGene00000402","unk",71.662,0.191,0.732,"WBGene00000402","unk",40.646,-0.883,0.326
"WBGene00000403","unk",16.834,-1.594,0.105,"WBGene00000403","unk",1108.451,-0.837,0
"WBGene00000405","ALG",3068.368,0.815,0,"WBGene00000405","ALG",5450.056,-0.164,0.155
"WBGene00000406","CSR",51.06,-0.109,0.876,"WBGene00000406","CSR",362.955,-0.473,0.094
"WBGene00000407","WAGO",114.92,-2.303,0,"WBGene00000407","WAGO",1144.673,-0.143,0.469
"WBGene00000408","CSR",170.777,0.52,0.097,"WBGene00000408","CSR",2004.156,0.185,0.189
"WBGene00000409","unk",327.927,-0.587,0.014,"WBGene00000409","unk",2555.74,-0.127,0.481
"WBGene00000410","CSR",802.16,0.518,0.006,"WBGene00000410","CSR",879.445,-0.053,0.861
"WBGene00000411","CSR",673.373,-0.53,0.003,"WBGene00000411","CSR",4485.341,-0.101,0.481
"WBGene00000413","CSR",793.26,0.475,0.005,"WBGene00000413","CSR",1449.645,-0.135,0.489
"WBGene00000414","CSR",30.181,0.558,0.474,"WBGene00000414","CSR",554.62,-0.489,0.023
"WBGene00000415","unk",712.108,0.257,0.174,"WBGene00000415","unk",2941.286,-0.487,0
"WBGene00000416","CSR",527.757,-0.741,0,"WBGene00000416","CSR",1840.992,-0.651,0.436
"WBGene00000417","CSR",436.528,-0.865,0,"WBGene00000417","CSR",2575.256,-0.07,0.732
"WBGene00000418","ALG",706.563,0.358,0.057,"WBGene00000418","ALG",1517.685,-0.149,0.399
